update,loss,win_rate,win_rate_black,win_rate_white,avg_game_length,entropy,value_loss,raw_value_mse,tactics_wins,tactics_blocks,tactics_synth_wins_eq,tactics_synth_wins_missed,tactics_synth_blocks,imitation_black,imitation_white,win_miss_ema,block_miss_ema,win_boost,block_boost,cf_attempted,cf_candidates_avg,cf_added,cf_winrate_avg,cf_entropy_avg,time_total,time_selfplay,time_train,learning_rate
96,0.9194499645382166,0.7578125,0.8869454807949608,0.611329629278218,8.7734375,1.269361028615037,0.05563706636894494,0.05317924472309064,388,0,337,1,28,0,0,0.5672124203022421,0.9150907697780909,0.8165408295568435,0.7445073292326203,0,0.0,0,0.0,0.0,3.232844799757004,0.4652050733566284,2.7672560811042786,0.00039918854234204646
104,0.8861568090505898,0.736328125,0.8803268964976418,0.5971290059652128,8.64453125,1.1620893045439449,0.0755864082602784,0.07126094898640171,377,0,335,0,37,0,0,0.5327160019825901,0.9202547334363158,0.7855482225852748,0.7451551137055565,0,0.0,0,0.0,0.0,3.205300956964493,0.47237369418144226,2.7325141727924347,0.00039912099522243494
112,0.7208479051478207,0.630859375,0.8405839888904405,0.4539653214937845,8.7421875,1.2637443957084395,0.13695746241137385,0.13868740339853067,323,0,277,4,42,0,0,0.5007021135083574,0.9251046379446254,0.7546230770631033,0.7457265009682559,0,0.0,0,0.0,0.0,3.136793792247772,0.4766431748867035,2.6596690118312836,0.0003990534595325437
120,0.6803406128310598,0.607421875,0.7950870905158565,0.3748169885669886,8.86328125,1.4386370533586006,0.1467803039122373,0.1485311572799579,311,0,222,14,51,0,0,0.4718304037024676,0.9296595835826057,0.7247115606409757,0.7462305010139736,0,0.0,0,0.0,0.0,3.195173054933548,0.5058317482471466,2.6889542639255524,0.0003989859352704387
128,0.2603649999946356,0.517578125,0.7211165431829016,0.3321724402273971,9.28515625,1.8638436003138894,0.11370370216900483,0.11854364124491877,265,2,175,57,78,0,0,0.4510041857033837,0.9322294114115599,0.7010568527237884,0.7465009006322376,0,0.0,0,0.0,0.0,3.6241343021392822,0.5597899556159973,3.063882887363434,0.00039891842243418616
136,-0.8173946678871289,0.3828125,0.4854489392597858,0.29288667785026734,10.4765625,0.8998983481979107,0.07128661844762973,0.075045337553969,196,18,70,66,114,0,0,0.4369866637622939,0.9273154575287322,0.6861637138246581,0.7460825024115887,0,0.0,0,0.0,0.0,3.661523222923279,0.6231269836425781,3.0381220281124115,0.00039885092102185277
144,0.24022603640332818,0.55078125,0.6731874965852808,0.4131670771756979,11.31640625,1.2311486359966566,0.11522387363947928,0.12198903049214864,282,35,143,79,124,0,0,0.42053345070428005,0.9193729137599286,0.6673090322643495,0.7451997476766251,0,0.0,0,0.0,0.0,4.137111127376556,0.7045120298862457,3.4323192834854126,0.00039878343103150546
152,0.008066996986599406,0.56640625,0.6565192692613783,0.465506491035528,12.75,0.7130385728342821,0.09259748990734806,0.09080357923845822,290,54,127,70,161,0,0,0.4055968884326504,0.9087994984185503,0.650471403635338,0.7438428765443629,0,0.0,0,0.0,0.0,4.625261515378952,0.8219341337680817,3.803033709526062,0.0003987159524612115
160,0.6015586458961479,0.64453125,0.7640943362910275,0.5055025774523133,13.5390625,1.1597685529555741,0.10956623563834,0.10839603718625637,330,48,165,42,74,0,0,0.38617461989182056,0.8913074398266014,0.625594302566536,0.7415242494103731,0,0.0,0,0.0,0.0,4.908437877893448,0.9122170507907867,3.995790034532547,0.0003986484853090385
168,0.033397981722373515,0.50390625,0.6075387924072134,0.3799891675844489,13.72265625,1.9759264294514574,0.08157200415735133,0.08120483560255824,258,38,131,135,117,0,0,0.37830849285104323,0.8836670878591049,0.6133868563652662,0.7401685123413049,0,0.0,0,0.0,0.0,5.022299349308014,0.9341267645359039,4.087871015071869,0.0003985810295730544
176,0.7287169768242165,0.705078125,0.789298259982266,0.626082251082251,15.7890625,1.291597769081743,0.09594021829252597,0.09185136928637304,361,53,153,115,98,0,0,0.3661392389880896,0.8693488422743202,0.6014440988364091,0.7373812139367455,0,0.0,0,0.0,0.0,5.698768794536591,1.0238963961601257,4.674472242593765,0.0003985135852513274
184,0.8468050447991118,0.74609375,0.8512468865299113,0.6449815946115288,18.794921875,1.5041232187987974,0.08686040414613672,0.0804653574792282,382,82,188,167,94,0,0,0.35716421635770446,0.8473403775955398,0.5881123218646893,0.7334942402460811,0,0.0,0,0.0,0.0,6.800758749246597,1.2179345488548279,5.582430571317673,0.00039844615234192613
192,0.7496932817157358,0.7421875,0.7511537074037075,0.727645308772378,17.87890625,1.3494744816467201,0.09009572010836564,0.08535856172751297,380,83,206,101,113,0,0,0.34492482848371453,0.8316486213386415,0.5710380195496443,0.7296099249485536,0,0.0,0,0.0,0.0,6.688472092151642,1.1164044737815857,5.571642488241196,0.00039837873084291945
200,0.9291497402009554,0.712890625,0.7301915916835271,0.6963851474318148,21.546875,1.8723525405522168,0.07809969458321575,0.07268196241361394,365,123,190,362,156,0,0,0.3449044506935998,0.815029525186635,0.5721145350777472,0.7253096288501841,0,0.0,0,0.0,0.0,7.939715504646301,1.3904994428157806,6.548877120018005,0.0003983113207523767
208,0.6023416590942361,0.69140625,0.7187311181424738,0.6691061542624043,19.81640625,1.8317365810793913,0.07881453707523178,0.07339656061356287,354,82,192,210,124,0,0,0.34104537489623676,0.8014360316784155,0.5657147010728718,0.7209271569132121,0,0.0,0,0.0,0.0,7.146056264638901,1.2281231582164764,5.917667239904404,0.0003982439220683673
216,1.259400663049746,0.76171875,0.769987344502194,0.7591299223103658,26.408203125,1.8096283518362228,0.06470877005631337,0.05857732053226211,390,148,226,658,166,0,0,0.34986453711467275,0.7835036971463335,0.5779129618431171,0.7154530800031085,0,0.0,0,0.0,0.0,9.753691375255585,1.593174159526825,8.15977793931961,0.00039817653478896125
224,0.7112682061851956,0.61328125,0.6401369956654337,0.5879577411835477,23.427734375,2.5557175880034118,0.060067124242777936,0.056293545806757155,314,95,210,584,161,0,0,0.3601330285114744,0.7734328116390498,0.5886225663394203,0.711963187736515,0,0.0,0,0.0,0.0,8.650100857019424,1.407397836446762,7.242365717887878,0.0003981091589122287
232,1.130059843417257,0.7421875,0.7563859445293268,0.724722964189559,21.888671875,2.0923751551290497,0.06772518980142195,0.06339321385797919,380,69,244,532,144,0,0,0.3647895598548395,0.7690032357744678,0.5986018386211913,0.7098957577835241,0,0.0,0,0.0,0.0,8.199194252490997,1.332640379667282,6.866229474544525,0.00039804179443624023
240,1.6160890003666282,0.689453125,0.7081468818537784,0.670454234618149,22.001953125,2.4710536547536925,0.07497596449684352,0.07244084227729883,353,93,321,1310,122,0,0,0.38234738904285837,0.757199121827478,0.6172644991470987,0.7064108549729877,0,0.0,0,0.0,0.0,8.945421725511551,1.345514327287674,7.599542498588562,0.0003979744413590667
248,1.3329052771441638,0.82421875,0.8258706791668252,0.8217610405329194,12.630859375,1.5023995657132674,0.13904436960001476,0.13660275584743994,422,56,295,214,62,0,0,0.37310911025131444,0.7423732149589553,0.608632844467854,0.7014581909181087,0,0.0,0,0.0,0.0,4.8412186205387115,0.7968560457229614,4.043828368186951,0.00039790709967877925
256,1.0586654068902135,0.76171875,0.7930219834074328,0.7368746609315663,11.71875,1.6496553619023533,0.14122961624525487,0.14071355546897726,390,54,220,96,77,0,0,0.35919109370922087,0.7338162570219929,0.5922627609617723,0.6963359115548622,0,0.0,0,0.0,0.0,4.5670779049396515,0.7030027806758881,3.863743245601654,0.0003978397693934495
264,1.0543014239519835,0.76953125,0.8337998226971629,0.7032371580625256,10.4296875,1.1227626473773733,0.14960179314948618,0.1516472021139232,394,12,206,34,69,0,0,0.3410458987967374,0.7402534226866098,0.5681832069714156,0.6991594298757134,0,0.0,0,0.0,0.0,3.770641475915909,0.5945547223091125,3.175773561000824,0.0003977724505011492
272,0.9568997211754322,0.7265625,0.8125649374893327,0.6389774028592488,10.66796875,1.2635009441166274,0.13478141778614372,0.1403235840296571,372,16,183,42,79,0,0,0.32494855657340926,0.7449986570979537,0.5475497576665889,0.7006929208247149,0,0.0,0,0.0,0.0,3.8542082011699677,0.6225574910640717,3.2313530147075653,0.0003977051429999506
280,1.0369282830506563,0.775390625,0.8472036768911768,0.6935842092092093,10.3359375,1.351445182517041,0.13024710200261325,0.13488766507262798,397,12,190,45,56,0,0,0.30992056590451,0.7496492556232245,0.5257978589071689,0.7027905163597017,0,0.0,0,0.0,0.0,3.7572358548641205,0.6003994047641754,3.1565471291542053,0.00039763784688792616
288,0.9051668383181095,0.771484375,0.8529338763234318,0.6803884867631119,9.603515625,1.195113343445066,0.11798558628652245,0.11791470921626775,395,10,198,35,53,0,0,0.29496438552806103,0.7534810465914682,0.505342730589419,0.7039936953342162,0,0.0,0,0.0,0.0,3.4731788337230682,0.5362134277820587,2.936631053686142,0.0003975705621631487
