update,overall_cos_sim,overall_policy_norm,overall_value_norm,stem_cos_sim,stem_policy_norm,stem_value_norm,blocks_0_3_cos_sim,blocks_0_3_policy_norm,blocks_0_3_value_norm,blocks_4_7_cos_sim,blocks_4_7_policy_norm,blocks_4_7_value_norm,blocks_8_11_cos_sim,blocks_8_11_policy_norm,blocks_8_11_value_norm,blocks_12_15_cos_sim,blocks_12_15_policy_norm,blocks_12_15_value_norm
1024,0.43146032094955444,0.3943220376968384,0.10131748765707016,0.5558717846870422,0.22225326299667358,0.06487433612346649,0.38482820987701416,0.3038664162158966,0.0759238451719284,0.2048225998878479,0.09038353711366653,0.015116004273295403,0.10817126929759979,0.060035910457372665,0.006890697404742241,0.11104770004749298,0.04455413669347763,0.004018708597868681
1088,0.35106360912323,0.6718425750732422,0.011654702015221119,0.3796875774860382,0.5090360045433044,0.008085680194199085,0.35743698477745056,0.41613826155662537,0.0074200802482664585,0.23497453331947327,0.11517256498336792,0.0024088826030492783,0.09669701009988785,0.0617610327899456,0.0019115840550512075,0.05335003882646561,0.04477311298251152,0.0024370881728827953
1152,0.47384095191955566,0.2298547923564911,0.12247766554355621,0.6263443231582642,0.140774667263031,0.09128953516483307,0.36555635929107666,0.1693834513425827,0.07703714072704315,0.34828388690948486,0.051930081099271774,0.022776471450924873,0.20855985581874847,0.03248196467757225,0.0116838738322258,0.13863466680049896,0.02394060231745243,0.008774859830737114
1216,-0.2744826674461365,0.39315029978752136,0.04516468942165375,-0.40845102071762085,0.273729532957077,0.02959238924086094,-0.17303720116615295,0.2693280279636383,0.03186816722154617,-0.0785195529460907,0.06802704185247421,0.00956999696791172,-0.08446037769317627,0.041294340044260025,0.005421034060418606,-0.06916122883558273,0.02772766724228859,0.005252375733107328
1280,0.3389349579811096,0.27655571699142456,0.08903860300779343,0.348153680562973,0.15593817830085754,0.06382020562887192,0.34829846024513245,0.21277755498886108,0.05802568048238754,0.37604591250419617,0.06749387085437775,0.01812281645834446,0.23870980739593506,0.04064866900444031,0.0099804000928998,0.11885923147201538,0.026159757748246193,0.007734956685453653
1344,-0.0036772843450307846,0.3707861602306366,0.11296794563531876,-0.10535566508769989,0.23405620455741882,0.07719476521015167,0.06497342884540558,0.2695319354534149,0.0774659663438797,0.14873680472373962,0.07927066087722778,0.022324057295918465,0.15596935153007507,0.0506957471370697,0.013020181097090244,0.0667782574892044,0.03462250530719757,0.011569821275770664
1408,-0.03209999203681946,0.23307910561561584,0.08717656135559082,-0.16802570223808289,0.11971968412399292,0.0630597397685051,0.05111268162727356,0.1884065568447113,0.05691419169306755,0.036004602909088135,0.05259178578853607,0.01619112491607666,0.07385373115539551,0.033817846328020096,0.00877201184630394,0.09625377506017685,0.024217577651143074,0.006700482685118914
1472,0.07283332198858261,0.6557578444480896,0.11127230525016785,0.09602135419845581,0.4284842312335968,0.08027301728725433,0.06463362276554108,0.474274218082428,0.07223959267139435,-0.059055574238300323,0.12082907557487488,0.02092565968632698,-0.04844372719526291,0.07136271148920059,0.012447675690054893,-0.02171209082007408,0.042323026806116104,0.011241973377764225
1536,0.30870217084884644,0.3465856909751892,0.09040088206529617,0.4307539761066437,0.21199505031108856,0.07206151634454727,0.21983735263347626,0.25806528329849243,0.05128587782382965,0.10953956842422485,0.07422662526369095,0.01417655497789383,0.09840875118970871,0.04506480321288109,0.008892913348972797,0.10202176868915558,0.032274242490530014,0.008316097781062126
1600,0.026473132893443108,0.8255094289779663,0.05001107230782509,0.029169388115406036,0.651641309261322,0.03712521493434906,0.031562164425849915,0.4808809161186218,0.03131107985973358,-0.050103381276130676,0.1287051886320114,0.009493846446275711,-0.06410373747348785,0.08009905368089676,0.005249625537544489,0.0008118273690342903,0.05101042985916138,0.004974978975951672
1664,0.5883660316467285,0.3371317386627197,0.131632998585701,0.7334478497505188,0.22653350234031677,0.0965881198644638,0.4889436960220337,0.23402898013591766,0.0848298966884613,0.21697156131267548,0.06884066760540009,0.023034991696476936,0.021772123873233795,0.04330051690340042,0.01249392144382,-0.0015846309252083302,0.030933069065213203,0.010731278918683529
1728,0.17910665273666382,0.4592704772949219,0.05356275662779808,0.08447739481925964,0.270656555891037,0.04118228703737259,0.29030272364616394,0.3479107916355133,0.03235829249024391,0.18430618941783905,0.10340266674757004,0.008850800804793835,0.07914257049560547,0.06309520453214645,0.005107320845127106,0.009891049936413765,0.04426490142941475,0.004637650679796934
1792,0.30722737312316895,0.368806391954422,0.08547227084636688,0.39769527316093445,0.25509533286094666,0.06990842521190643,0.1863989233970642,0.2534545361995697,0.04626394808292389,0.35422831773757935,0.06652643531560898,0.013524134643375874,0.22232697904109955,0.03924427554011345,0.0075241196900606155,0.13276425004005432,0.02719288319349289,0.0062011172994971275
1856,-0.4168103337287903,0.530910074710846,0.04185466468334198,-0.6497558355331421,0.39869728684425354,0.03249521180987358,-0.11040063202381134,0.32339704036712646,0.024383483454585075,0.0009673270396888256,0.10503402352333069,0.007507112808525562,0.031300850212574005,0.07175375521183014,0.00481600733473897,0.06995287537574768,0.046255577355623245,0.0046657416969537735
1920,0.4975479245185852,0.8698965311050415,0.06823502480983734,0.470664381980896,0.5736376047134399,0.03974413499236107,0.560889482498169,0.619204580783844,0.05230628699064255,0.23528602719306946,0.1733495444059372,0.013016662560403347,0.09211862087249756,0.10267067700624466,0.008916681632399559,0.036510758101940155,0.06045027822256088,0.00956733524799347
1984,0.5213285684585571,0.5029958486557007,0.21737971901893616,0.7455276846885681,0.3444318473339081,0.18493759632110596,0.2485334873199463,0.3428516685962677,0.10232996195554733,0.19170787930488586,0.10570450872182846,0.031434688717126846,0.11818577349185944,0.06437366455793381,0.02612791769206524,-0.035545408725738525,0.03881889954209328,0.030162803828716278
2048,0.6160500049591064,0.5215463042259216,0.13829025626182556,0.7915156483650208,0.37404486536979675,0.11830893903970718,0.3961910903453827,0.32925206422805786,0.06577183306217194,0.22719161212444305,0.12210352718830109,0.020100628957152367,0.1744677722454071,0.07974416762590408,0.014811513014137745,0.0947711169719696,0.04925113543868065,0.013335645198822021
2112,0.7542309761047363,0.39285820722579956,0.04811092093586922,0.8593393564224243,0.2868952751159668,0.03766876086592674,0.6638385057449341,0.25698983669281006,0.028164701536297798,0.30251312255859375,0.06222578138113022,0.007132480852305889,0.1290484368801117,0.03806569054722786,0.004955998621881008,0.03863631933927536,0.025765283033251762,0.005200064741075039
2176,0.5213757753372192,0.6472559571266174,0.0699615329504013,0.6959285736083984,0.42845454812049866,0.05884239822626114,0.36254215240478516,0.44951072335243225,0.03450961410999298,0.2471093386411667,0.14743418991565704,0.010212380439043045,0.07703598588705063,0.09167240560054779,0.00827119406312704,0.021082459017634392,0.05627099797129631,0.00828072614967823
2240,-0.3373751640319824,0.4084421694278717,0.04695793613791466,-0.5083508491516113,0.26284700632095337,0.03677947446703911,-0.1651403307914734,0.2889922857284546,0.02601408027112484,-0.22799113392829895,0.09464816004037857,0.010000796057283878,-0.1607649177312851,0.06019973009824753,0.00628105690702796,-0.15709173679351807,0.04046768695116043,0.006009852979332209
2304,0.20405533909797668,0.9256758093833923,0.1571919471025467,0.24052247405052185,0.6557588577270508,0.1294589787721634,0.16923576593399048,0.6149256825447083,0.08355758339166641,0.10485011339187622,0.18043212592601776,0.023864543065428734,0.04802297428250313,0.10639695823192596,0.015226798132061958,0.0535067543387413,0.0696164220571518,0.01290126983076334
2368,0.15962040424346924,0.5490798354148865,0.0773967057466507,0.08223647624254227,0.3673518896102905,0.06174798682332039,0.2774873673915863,0.39028096199035645,0.043726541101932526,0.16942957043647766,0.09806130081415176,0.011049333959817886,0.020993519574403763,0.05684306472539902,0.0077866921201348305,-0.030770638957619667,0.037079449743032455,0.009094237349927425
2432,-0.1510799378156662,0.3437354862689972,0.043461307883262634,-0.40841469168663025,0.24872401356697083,0.02867104671895504,0.08282037079334259,0.22364932298660278,0.029326677322387695,0.16591425240039825,0.06363818049430847,0.009591231122612953,0.060307469218969345,0.03952415660023689,0.00731373205780983,-0.03205535560846329,0.02568012848496437,0.007830712012946606
2496,0.6313998699188232,0.5824140310287476,0.07470240443944931,0.7630029916763306,0.43496254086494446,0.06275766342878342,0.45677655935287476,0.36753666400909424,0.03838476911187172,0.1930779218673706,0.0971529483795166,0.009521630592644215,0.0733448714017868,0.06123320385813713,0.006163613870739937,-0.0284596998244524,0.041741419583559036,0.006315318401902914
2560,0.18168465793132782,1.2519645690917969,0.04873523861169815,0.24169841408729553,1.0075643062591553,0.03101414255797863,0.1465015560388565,0.693259060382843,0.03397880494594574,0.02968084253370762,0.2142554521560669,0.011964389123022556,0.010525375604629517,0.13907282054424286,0.007826423272490501,-0.009975207969546318,0.07984119653701782,0.00736803887411952
2624,0.27361583709716797,0.31717705726623535,0.060188379138708115,0.3876972198486328,0.23096272349357605,0.045409735292196274,0.14358055591583252,0.2047976404428482,0.03623519837856293,0.09823240339756012,0.055628497153520584,0.011787443421781063,0.05857490375638008,0.03923846781253815,0.007538269739598036,0.05344698578119278,0.026100793853402138,0.0071998462080955505
2688,0.37489235401153564,0.3995024859905243,0.11739584803581238,0.5108195543289185,0.28366073966026306,0.09815692156553268,0.20363309979438782,0.2667328715324402,0.06079448387026787,0.09383049607276917,0.07244277000427246,0.01568078063428402,-0.0026265131309628487,0.042984165251255035,0.010040834546089172,-0.1569366157054901,0.02994607575237751,0.010214189067482948
2752,0.2709410786628723,0.6988043785095215,0.06996843963861465,0.37568241357803345,0.506213366985321,0.05357702821493149,0.1896517276763916,0.43385931849479675,0.04139768332242966,-0.09151405096054077,0.16823159158229828,0.013359489850699902,-0.07807525992393494,0.10981642454862595,0.008292173035442829,-0.15054447948932648,0.05899277701973915,0.00800505094230175
2816,0.6907463669776917,0.4351573586463928,0.07691219449043274,0.7767139673233032,0.3144769072532654,0.055952198803424835,0.623418927192688,0.28301259875297546,0.04892563447356224,0.5323193073272705,0.08590958267450333,0.014531143940985203,0.2818829417228699,0.04734477028250694,0.009720414876937866,0.09985696524381638,0.027351370081305504,0.009245447814464569
